score_train,acc_test,prec_test,sens_test,spec_test,f1_scor,mserror,time,method
0.8263665594855305,0.7940074906367042,0.7835051546391752,0.6909090909090909,0.8662420382165605,0.7342995169082126,0.20599250936329588,0.04846000671386719,reg_log
0.8263665594855305,0.6292134831460674,0.6170212765957447,0.2636363636363636,0.8853503184713376,0.36942675159235666,0.3707865168539326,0.013763427734375,svm
0.8263665594855305,0.7378277153558053,0.6818181818181818,0.6818181818181818,0.7770700636942676,0.6818181818181818,0.26217228464419473,0.011907577514648438,knn
0.8263665594855305,0.7640449438202247,0.7901234567901234,0.5818181818181818,0.89171974522293,0.6701570680628272,0.23595505617977527,0.1272132396697998,rand_for
0.8263665594855305,0.6891385767790262,0.7288135593220338,0.39090909090909093,0.8980891719745223,0.5088757396449705,0.31086142322097376,0.005294322967529297,sgd
0.8263665594855305,0.700374531835206,0.6530612244897959,0.5818181818181818,0.7834394904458599,0.6153846153846153,0.299625468164794,0.0050809383392333984,sgd
0.8263665594855305,0.6891385767790262,0.7288135593220338,0.39090909090909093,0.8980891719745223,0.5088757396449705,0.31086142322097376,0.005767345428466797,sgd
0.8263665594855305,0.6891385767790262,0.7288135593220338,0.39090909090909093,0.8980891719745223,0.5088757396449705,0.31086142322097376,0.005767345428466797,sgd
0.8263665594855305,0.7565543071161048,0.7064220183486238,0.7,0.7961783439490446,0.7031963470319634,0.24344569288389514,0.0031824111938476562,sgd
0.8263665594855305,0.700374531835206,0.6530612244897959,0.5818181818181818,0.7834394904458599,0.6153846153846153,0.299625468164794,0.003136873245239258,sgd
0.8263665594855305,0.599250936329588,0.5483870967741935,0.15454545454545454,0.910828025477707,0.24113475177304966,0.40074906367041196,0.003931760787963867,sgd
0.8263665594855305,0.41198501872659177,0.41198501872659177,1.0,0.0,0.583554376657825,0.5880149812734082,0.0066699981689453125,sgd
0.8263665594855305,0.6666666666666666,0.5963302752293578,0.5909090909090909,0.7197452229299363,0.593607305936073,0.3333333333333333,0.009777545928955078,sgd
0.8263665594855305,0.6666666666666666,0.6082474226804123,0.5363636363636364,0.7579617834394905,0.570048309178744,0.3333333333333333,0.0065059661865234375,sgd
0.8263665594855305,0.7565543071161048,0.7064220183486238,0.7,0.7961783439490446,0.7031963470319634,0.24344569288389514,0.006295680999755859,sgd
0.8263665594855305,0.700374531835206,0.6530612244897959,0.5818181818181818,0.7834394904458599,0.6153846153846153,0.299625468164794,0.0065152645111083984,sgd
